1,2,3,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
1,9,0,0,1,1,8,1,1,,1,2,11,11,11,2,11,5,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,11,11,0,8,11,1
1,1,0,0,11,11,0,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1,11,11,0,0,11,11,1
,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,2,2,1,1,1,1,0,1,,,,,,,,,,,,,,,1,1,1,11,0,0,11,1,1,1
,1,1,1,1,11,11,11,11,11,1,0,0,0,0,0,0,0,0,0,0,1,,,1,0,1,,,,,,,,,,,,,,1,1,11,11,0,0,11,1,,,
,,,,1,2,3,2,2,2,1,0,0,0,11,0,0,0,11,0,0,1,,,1,0,1,,,,,,,,,,,,,1,1,11,11,0,0,,11,1,,,
,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,1,,,1,0,1,,,,,,,,,,,,,1,11,11,0,0,11,11,11,1,,,
,1,1,1,1,13,0,11,0,0,1,2,5,11,11,5,11,2,11,11,5,1,,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,0,0,11,1,1,1,1,,,
,1,0,0,0,0,11,0,11,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,,,,,,,
,1,0,0,11,0,11,0,11,0,11,1,1,,,,,,,,,,,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,11,1,,,,,,,
,1,11,0,11,0,0,11,0,0,1,0,1,,,,,,,,,,,,1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,1,0,1,1,1,,,,,,,
1,1,0,0,11,0,11,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,
1,0,0,11,11,11,11,0,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
1,0,0,0,11,0,11,0,11,0,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,11,0,0,11,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
