1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
1,0,0,0,0,0,14,0,11,0,0,0,0,15,15,15,0,0,12,0,0,0,14,0,0,0,1,,,,,10
1,0,12,12,12,12,12,0,11,0,0,0,0,15,6,15,0,0,11,0,11,11,11,11,0,0,10,10,,10,10,10
1,0,0,11,11,11,11,11,0,0,0,0,0,15,15,15,0,0,12,15,12,12,12,12,15,15,10,10,10,10,8,10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,0,12,11,12,0,11,12,0,11,12,12,11,0,12,11,12,12,11,12,12,0,12,12,11,0,1,0,4,0,0,10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,10,10,10,1,0,10
1,0,5,0,0,0,0,0,14,12,12,12,12,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,10
1,0,0,0,0,12,0,12,12,12,14,0,0,12,6,0,5,0,11,12,0,1,1,1,1,10,10,10,10,10,10,10
1,0,0,0,0,12,0,0,12,12,0,0,0,12,1,1,1,1,1,12,0,0,8,0,0,0,1,,,,,
1,0,0,14,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,,,,,
1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,9,11,12,11,12,11,0,11,12,0,1,,,,,
1,0,0,0,12,12,12,12,12,12,12,12,12,11,0,11,0,11,11,0,0,0,0,0,0,0,1,,,,,
1,0,0,0,12,7,0,0,12,12,0,0,14,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1,0,0,0,12,12,12,0,0,0,0,0,0,11,0,11,0,0,0,0,12,12,12,12,13,0,1,,,,,
1,0,0,0,0,0,12,12,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,1,,,,,
1,0,0,15,0,0,0,0,0,0,0,11,11,11,5,11,11,0,0,0,0,2,0,2,0,2,1,,,,,
1,1,1,11,11,11,11,11,11,11,0,11,1,1,1,1,0,0,1,1,1,2,0,2,0,2,1,,,,,
,,,,,,,,,11,0,11,,,,,1,0,1,,,2,0,2,0,2,,,,,,
,,,,,,,,,11,0,11,,,,,1,0,1,,2,2,0,2,0,2,2,,,,,
,,,,,,,,,11,0,11,,,,,1,0,1,,2,0,0,0,0,3,2,,,,,
,,,,,,,,,1,0,11,,,,,1,0,1,,2,2,0,0,0,2,2,,,,,
,,,,,,,,,1,0,1,1,1,1,1,1,0,1,1,1,1,1,7,1,,,,,,,
,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14,1,,,,,,,
,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,
