12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,12,12,12,12,12,1,2,3,2,1,12,12,12,12,14,12,12,12,12,12,12,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1
12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,1
12,12,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12,12,12,1
12,12,12,1,0,0,0,3,2,2,2,2,1,1,1,1,1,0,0,1,12,12,12,1
12,12,12,1,0,1,2,2,2,0,0,0,0,0,0,0,3,1,1,1,12,12,12,1
12,14,12,1,0,0,1,1,2,0,1,1,0,0,1,0,2,0,0,1,12,12,12,1
12,12,12,1,0,0,1,2,2,0,1,8,0,1,0,0,0,0,0,1,12,12,12,1
12,12,12,1,0,0,0,0,2,0,1,1,1,1,0,1,0,2,2,2,2,3,12,1
12,12,12,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,12,12,12,1
12,12,12,1,0,0,2,0,1,1,0,0,0,1,0,2,2,2,0,1,12,12,12,1
12,12,12,1,0,0,2,0,0,2,0,0,0,1,0,2,3,2,0,1,12,12,12,1
12,12,12,1,0,5,0,0,1,1,0,0,0,1,0,3,2,2,0,1,12,12,12,1
12,12,12,1,0,1,7,0,0,0,3,0,0,0,8,1,0,0,9,1,12,14,12,1
12,12,12,1,1,1,1,1,1,0,0,5,1,1,1,1,1,1,1,1,12,12,12,1
12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,1
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1
12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
